epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.3858,2.27055,6.49277,1.459,0.37812,0.2201,0.24712,0.12734,1.43049,3.63638,1.04265,0.09406,6e-05,6e-05
2,34.957,1.74862,2.9036,1.18821,0.60159,0.65661,0.69909,0.45845,1.25099,1.85525,0.96333,0.0871299,0.000129912,0.000129912
3,46.9513,1.49317,1.35474,1.10844,0.73656,0.71412,0.76502,0.49579,1.37517,1.56954,0.97467,0.0801995,0.000199458,0.000199458
4,59.2151,1.46064,1.16776,1.09808,0.71043,0.78347,0.83364,0.45727,1.46034,1.69122,1.00447,0.0732684,0.000268355,0.000268355
5,72.128,1.34952,1.09359,1.06273,0.52007,0.38867,0.50365,0.3087,1.78157,1.65341,1.11902,0.0663363,0.000336322,0.000336322
6,83.3677,1.377,1.06823,1.07491,0.39544,0.67918,0.47812,0.28411,1.70065,1.65531,1.11449,0.0594031,0.000403085,0.000403085
7,95.6683,1.35718,0.99374,1.05782,0.31562,0.59621,0.44692,0.27943,1.4837,2.15643,1.04542,0.0524684,0.000468371,0.000468371
8,105.935,1.36417,1.00604,1.05402,0.62972,0.52772,0.58462,0.32431,1.81037,1.80163,1.13601,0.0455319,0.000531917,0.000531917
9,116.93,1.37433,0.9362,1.08621,0.47259,0.47619,0.57163,0.32922,1.67222,1.54703,1.1398,0.0385935,0.000593467,0.000593467
10,128.234,1.34614,0.92875,1.04807,0.67665,0.72686,0.76236,0.40463,1.6385,1.34776,1.10004,0.0316528,0.000652773,0.000652773
11,137.714,1.2444,0.86133,1.02648,0.65835,0.84334,0.85597,0.50311,1.51958,1.36666,1.06061,0.0247096,0.000709599,0.000709599
12,148.543,1.27741,0.84246,1.05162,0.73386,0.85714,0.91618,0.62598,1.2784,0.91608,1.03965,0.0177637,0.000763718,0.000763718
13,157.405,1.2701,0.80216,1.04696,0.63496,0.81905,0.89449,0.59008,1.40678,1.08015,1.07548,0.0108149,0.000814917,0.000814917
14,166.23,1.27839,0.84056,1.04598,0.60374,0.87108,0.91205,0.57115,1.2929,1.12972,1.04674,0.003863,0.000862997,0.000862997
15,176.365,1.21542,0.7972,1.02867,0.63301,0.95238,0.9096,0.56172,1.34565,1.07491,1.09487,0.000872857,0.000872857,0.000872857
16,186.587,1.19677,0.80857,1.00434,0.67652,0.99976,0.94914,0.64389,1.23672,0.94077,1.04137,0.000855018,0.000855018,0.000855018
17,196.178,1.17905,0.79679,0.99958,0.9089,0.77143,0.94167,0.6372,1.20391,1.08791,1.01535,0.00083622,0.00083622,0.00083622
18,205.341,1.22047,0.80371,1.00753,0.82682,0.87933,0.93441,0.66449,1.18571,0.81994,0.98888,0.000816514,0.000816514,0.000816514
19,215.167,1.26621,0.85808,1.01534,0.93345,0.85627,0.96322,0.71986,1.03807,0.7084,0.94152,0.000795954,0.000795954,0.000795954
20,224.494,1.20915,0.75568,1.00279,0.93596,0.86691,0.96685,0.70246,1.04259,0.71489,0.94425,0.000774596,0.000774596,0.000774596
21,233.838,1.20497,0.77288,1.02005,0.90833,0.97826,0.98333,0.73517,0.98737,0.66846,0.93419,0.0007525,0.0007525,0.0007525
22,243.833,1.20417,0.82374,1.0376,0.92491,1,0.995,0.70745,1.05291,0.64027,0.92932,0.000729725,0.000729725,0.000729725
23,253.236,1.15502,0.73471,1.00206,0.96208,0.92075,0.98917,0.707,1.03986,0.73697,0.94411,0.000706335,0.000706335,0.000706335
24,262.566,1.1453,0.72892,0.97906,0.9829,0.96666,0.995,0.74287,1.02547,0.57021,0.92062,0.000682392,0.000682392,0.000682392
25,272.966,1.12453,0.73477,0.98984,0.98363,0.98913,0.995,0.74723,1.04453,0.55457,0.92342,0.000657963,0.000657963,0.000657963
26,281.6,1.18148,0.74045,1.02712,0.98595,0.95291,0.995,0.75798,1.01763,0.5835,0.91907,0.000633115,0.000633115,0.000633115
27,290.466,1.16225,0.7596,0.98803,0.95193,0.98897,0.995,0.78421,0.97331,0.54319,0.91325,0.000607916,0.000607916,0.000607916
28,298.344,1.11634,0.66173,0.96603,0.97036,0.94474,0.98917,0.7017,1.02177,0.61159,0.92666,0.000582435,0.000582435,0.000582435
29,307.396,1.17204,0.70787,1.02592,0.9636,0.90338,0.97796,0.68899,1.11955,0.61802,0.94571,0.000556742,0.000556742,0.000556742
30,315.764,1.08248,0.6357,0.96973,0.91975,0.89701,0.98333,0.69419,1.09104,0.63213,0.93933,0.000530906,0.000530906,0.000530906
31,324.198,1.19717,0.71735,1.01121,0.89412,0.98436,0.995,0.76035,0.97021,0.53499,0.92187,0.000505,0.000505,0.000505
32,333.718,1.07379,0.64882,0.983,0.96105,0.96782,0.995,0.7448,0.97224,0.55804,0.92347,0.000479094,0.000479094,0.000479094
33,343.066,1.11162,0.649,0.96687,0.96285,0.96633,0.995,0.72324,1.01379,0.58942,0.93167,0.000453258,0.000453258,0.000453258
34,352.404,1.07237,0.62652,0.96957,0.98089,0.92872,0.98917,0.70895,1.0545,0.62324,0.94184,0.000427565,0.000427565,0.000427565
35,361.121,1.05585,0.61034,0.96009,0.942,0.99087,0.995,0.73028,1.03402,0.69946,0.93321,0.000402084,0.000402084,0.000402084
36,371.252,1.12538,0.64818,0.98307,0.98202,0.97987,0.995,0.72456,1.02356,0.56302,0.92971,0.000376885,0.000376885,0.000376885
37,380.486,1.0967,0.61776,0.96851,0.97018,0.9902,0.995,0.72313,1.01188,0.53483,0.92369,0.000352037,0.000352037,0.000352037
38,390.623,1.08221,0.60168,0.97548,0.97295,0.98099,0.995,0.73611,0.98084,0.51082,0.91637,0.000327608,0.000327608,0.000327608
39,400.732,1.06185,0.62426,0.96396,0.98503,0.9769,0.995,0.73171,1.0175,0.50708,0.92261,0.000303665,0.000303665,0.000303665
